canting,toaccount,money,accountname
1,1000001,18980941,淮扬快餐
1,1000002,6573057,海派食府
1,1000003,13307236,中式点心
1,1000005,9498940,一餐教工餐厅
1,1000006,1500,面包房1
1,1000007,5397420,梦园面包房2
1,1000010,11740625,吉祥小厨
1,1000011,11334521,顺日北小吃
1,1000014,290140,高知餐厅
1,1000015,8141679,川菜
1,1000125,0,供应点1
1,1000176,94410,甜魔咖啡
1,1000202,0,闵行一餐临时
1,1000204,0,松叶蔬菜
1,1000219,4035536,一餐清真
1,1000221,1950,一餐教工定额卡
1,1000241,0,达通一餐蔬菜店
1,1000242,0,达通一餐水果店
2,1000027,36186395,上海快餐
2,1000029,13754778,西北面点
2,1000030,15480838,江南小吃
2,1000031,22835663,川味点心
2,1000037,21159474,教育超市
2,1000038,21424335,大众餐厅
2,1000039,6801310,新疆餐厅
2,1000040,19052650,二大楼教工餐厅
2,1000041,43405804,绿园餐厅
2,1000215,23519700,西式快餐
2,1000222,7110,上海快餐定额卡
3,1000047,15096565,北区教育超市
3,1000231,29086366,闵行第三餐饮外婆桥
3,1000232,3020969,闵行第三餐饮清真餐厅
3,1000233,35499546,闵行第三餐饮学生餐厅
3,1000244,0,闵行三餐时光咖啡
4,1000055,23608358,东餐厅
4,1000056,1947406,西餐厅
4,1000057,10624857,面点
4,1000060,1591650,炖品
4,1000108,0,苏记麻辣烫
4,1000136,689830,百味林
4,1000157,1127400,吉姆丽德
4,1000159,8724851,教工餐厅
4,1000181,2172107,串串烧
4,1000182,2139330,麻辣烫
4,1000183,1228660,笼仔饭
4,1000184,2373960,粉面饭
4,1000185,2392200,烧腊饭
4,1000186,730774,甜点
4,1000187,5210361,点心
4,1000210,2460490,炒面
4,1000211,1979950,土豆粉
4,1000212,6516813,烤肉
4,1000213,7299940,粥档
4,1000216,3899000,风味煲仔饭
4,1000220,0,后发定额卡（第四餐饮）
4,1000239,0,达通闵行四餐水果吧
4,1000246,0,闵行四餐面包房
5,1000061,8326587,一楼快餐厅
5,1000062,5002298,二楼快餐厅
5,1000103,4088830,二楼面馆
5,1000105,1177661,第五餐饮教育超市
5,1000132,670600,中西餐厅
6,1000178,10564653,六餐东一楼餐厅
6,1000179,1725755,六餐面馆
6,1000180,5800,六餐伊诺咖啡
